topic,target_method,baseline_method,n,target_wins,baseline_wins,ties,target_win_rate,non_tie_target_win_rate
all,trustrag_anchor,vanilla_rag,210,9,201,0,0.0429,0.0429
all,trustrag_anchor,mmr_rag,210,4,206,0,0.019,0.019
all,trustrag_anchor,graph_retrieval,210,4,206,0,0.019,0.019
all,trustrag_anchor,r2ag,210,9,200,1,0.0429,0.0431
all,trustrag_anchor,reclaim,210,92,118,0,0.4381,0.4381
all,trustrag_anchor,grag,210,21,188,1,0.1,0.1005
abortion,trustrag_anchor,vanilla_rag,30,2,28,0,0.0667,0.0667
abortion,trustrag_anchor,mmr_rag,30,1,29,0,0.0333,0.0333
abortion,trustrag_anchor,graph_retrieval,30,1,29,0,0.0333,0.0333
abortion,trustrag_anchor,r2ag,30,2,27,1,0.0667,0.069
abortion,trustrag_anchor,reclaim,30,8,22,0,0.2667,0.2667
abortion,trustrag_anchor,grag,30,5,25,0,0.1667,0.1667
climate_change,trustrag_anchor,vanilla_rag,30,1,29,0,0.0333,0.0333
climate_change,trustrag_anchor,mmr_rag,30,0,30,0,0.0,0.0
climate_change,trustrag_anchor,graph_retrieval,30,2,28,0,0.0667,0.0667
climate_change,trustrag_anchor,r2ag,30,0,30,0,0.0,0.0
climate_change,trustrag_anchor,reclaim,30,12,18,0,0.4,0.4
climate_change,trustrag_anchor,grag,30,4,26,0,0.1333,0.1333
economy_jobs,trustrag_anchor,vanilla_rag,30,1,29,0,0.0333,0.0333
economy_jobs,trustrag_anchor,mmr_rag,30,0,30,0,0.0,0.0
economy_jobs,trustrag_anchor,graph_retrieval,30,1,29,0,0.0333,0.0333
economy_jobs,trustrag_anchor,r2ag,30,0,30,0,0.0,0.0
economy_jobs,trustrag_anchor,reclaim,30,12,18,0,0.4,0.4
economy_jobs,trustrag_anchor,grag,30,4,26,0,0.1333,0.1333
free_speech,trustrag_anchor,vanilla_rag,30,0,30,0,0.0,0.0
free_speech,trustrag_anchor,mmr_rag,30,0,30,0,0.0,0.0
free_speech,trustrag_anchor,graph_retrieval,30,0,30,0,0.0,0.0
free_speech,trustrag_anchor,r2ag,30,1,29,0,0.0333,0.0333
free_speech,trustrag_anchor,reclaim,30,12,18,0,0.4,0.4
free_speech,trustrag_anchor,grag,30,0,30,0,0.0,0.0
gun_control,trustrag_anchor,vanilla_rag,30,1,29,0,0.0333,0.0333
gun_control,trustrag_anchor,mmr_rag,30,1,29,0,0.0333,0.0333
gun_control,trustrag_anchor,graph_retrieval,30,0,30,0,0.0,0.0
gun_control,trustrag_anchor,r2ag,30,2,28,0,0.0667,0.0667
gun_control,trustrag_anchor,reclaim,30,18,12,0,0.6,0.6
gun_control,trustrag_anchor,grag,30,3,26,1,0.1,0.1034
immigration,trustrag_anchor,vanilla_rag,30,0,30,0,0.0,0.0
immigration,trustrag_anchor,mmr_rag,30,0,30,0,0.0,0.0
immigration,trustrag_anchor,graph_retrieval,30,0,30,0,0.0,0.0
immigration,trustrag_anchor,r2ag,30,0,30,0,0.0,0.0
immigration,trustrag_anchor,reclaim,30,15,15,0,0.5,0.5
immigration,trustrag_anchor,grag,30,2,28,0,0.0667,0.0667
voting_rights_and_voter_fraud,trustrag_anchor,vanilla_rag,30,4,26,0,0.1333,0.1333
voting_rights_and_voter_fraud,trustrag_anchor,mmr_rag,30,2,28,0,0.0667,0.0667
voting_rights_and_voter_fraud,trustrag_anchor,graph_retrieval,30,0,30,0,0.0,0.0
voting_rights_and_voter_fraud,trustrag_anchor,r2ag,30,4,26,0,0.1333,0.1333
voting_rights_and_voter_fraud,trustrag_anchor,reclaim,30,15,15,0,0.5,0.5
voting_rights_and_voter_fraud,trustrag_anchor,grag,30,3,27,0,0.1,0.1
