topic,qid,query_summary,delta_ht_cite,delta_cite_cov,support_graph,support_anchorrag
Abortion,abo-21,"waiting periods, counseling, and informed consent",1.0000,0.9000,1.0000,1.0000
Immigration,imm-25,second-generation immigrant integration outcomes,0.8571,0.4000,1.0000,1.0000
Gun Control,gun-05,concealed-carry laws and violent crime,0.8571,0.3333,1.0000,1.0000
Immigration,imm-20,"immigration, population growth, and environmental impact",0.8571,0.2564,1.0000,1.0000
Voting Rights,vote-14,inactive-voter roll purges and disenfranchisement,0.8000,0.3654,0.8000,1.0000
Climate Change,clim-21,Paris Agreement costs and benefits,0.8000,0.2667,1.0000,1.0000
Economy and Jobs,eco-27,infrastructure investment and private-capital crowding out,0.7143,0.5000,0.0000,1.0000
Economy and Jobs,eco-24,housing prices: zoning restrictions vs speculative investment,0.7143,0.5000,0.0000,1.0000
Gun Control,gun-11,gun buyback programs and violence reduction,0.7143,0.2500,0.6667,1.0000
Gun Control,gun-08,school shootings: gun access vs mental health or security,0.7143,0.5000,0.8571,1.0000
Average,--,--,0.8028,0.4272,0.7324,1.0000
