topic,method,n,groundedness,evidence_support_rate,mssr,citation_coverage,high_trust_citation_rate,response_utility,anchor_utilization_rate,avg_s_trust_at_k,top3_avg_s_trust,high_trust_ratio,trust_weighted_claim_support,backbone_trust_rate,backbone_avg_claim_trust,backbone_support_rate,backbone_claim_count
all,vanilla_rag,30,0.6683,0.6739,0.6333,0.1946,0.25,0.605,0.3972,0.731,0.724,0.3967,0.5181,0.2611,0.5393,0.7028,1.5333
all,wo_trust,30,0.7167,0.7406,0.7222,0.2695,0.2194,0.675,0.7361,0.7191,0.7212,0.3333,0.5371,0.2139,0.6441,0.75,2.2667
all,wo_anchor,30,0.6167,0.7472,0.7111,0.2324,0.4078,0.555,0.6806,0.7488,0.7575,0.5467,0.5651,0.4222,0.5771,0.75,1.7667
all,wo_diversity,30,0.6967,0.7306,0.7194,0.2155,0.475,0.6617,0.7194,0.7774,0.785,0.67,0.5821,0.4778,0.6819,0.7639,1.7333
all,trustrag_anchor,30,0.7117,0.7944,0.8063,0.3069,0.4448,0.6583,0.8611,0.7488,0.7575,0.5467,0.6045,0.4722,0.6703,0.8111,2.4
all,trustrag_anchor_top2,30,0.6883,0.8411,0.8106,0.3192,0.4748,0.64,0.8917,0.7488,0.7575,0.5467,0.6379,0.5028,0.6996,0.85,2.4333
economy_jobs,vanilla_rag,30,0.6683,0.6739,0.6333,0.1946,0.25,0.605,0.3972,0.731,0.724,0.3967,0.5181,0.2611,0.5393,0.7028,1.5333
economy_jobs,wo_trust,30,0.7167,0.7406,0.7222,0.2695,0.2194,0.675,0.7361,0.7191,0.7212,0.3333,0.5371,0.2139,0.6441,0.75,2.2667
economy_jobs,wo_anchor,30,0.6167,0.7472,0.7111,0.2324,0.4078,0.555,0.6806,0.7488,0.7575,0.5467,0.5651,0.4222,0.5771,0.75,1.7667
economy_jobs,wo_diversity,30,0.6967,0.7306,0.7194,0.2155,0.475,0.6617,0.7194,0.7774,0.785,0.67,0.5821,0.4778,0.6819,0.7639,1.7333
economy_jobs,trustrag_anchor,30,0.7117,0.7944,0.8063,0.3069,0.4448,0.6583,0.8611,0.7488,0.7575,0.5467,0.6045,0.4722,0.6703,0.8111,2.4
economy_jobs,trustrag_anchor_top2,30,0.6883,0.8411,0.8106,0.3192,0.4748,0.64,0.8917,0.7488,0.7575,0.5467,0.6379,0.5028,0.6996,0.85,2.4333
