topic,method,n,groundedness,evidence_support_rate,mssr,citation_coverage,high_trust_citation_rate,response_utility,anchor_utilization_rate,avg_s_trust_at_k,top3_avg_s_trust,high_trust_ratio,trust_weighted_claim_support,backbone_trust_rate,backbone_avg_claim_trust,backbone_support_rate,backbone_claim_count
all,vanilla_rag,30,0.76,0.61,0.6056,0.1732,0.4111,0.7083,0.3722,0.7278,0.713,0.4333,0.475,0.4222,0.5009,0.6306,1.4
all,wo_trust,30,0.7467,0.7989,0.7989,0.2781,0.4561,0.7117,0.9222,0.7178,0.7121,0.36,0.6133,0.4833,0.6932,0.825,2.3333
all,wo_anchor,30,0.7167,0.8056,0.7889,0.2582,0.5894,0.6517,0.825,0.7581,0.7866,0.5467,0.6457,0.5889,0.6753,0.8306,1.9667
all,wo_diversity,30,0.7667,0.7211,0.75,0.2136,0.5994,0.6983,0.7272,0.7929,0.7807,0.7467,0.6105,0.6,0.6561,0.775,1.8
all,trustrag_anchor,30,0.7233,0.7972,0.7922,0.3365,0.6111,0.6717,0.9083,0.7581,0.7866,0.5467,0.6491,0.6611,0.7529,0.8333,2.5333
all,trustrag_anchor_top2,30,0.7167,0.8083,0.7667,0.3092,0.6439,0.665,0.9556,0.7581,0.7866,0.5467,0.6503,0.6889,0.7547,0.8361,2.4333
gun_control,vanilla_rag,30,0.76,0.61,0.6056,0.1732,0.4111,0.7083,0.3722,0.7278,0.713,0.4333,0.475,0.4222,0.5009,0.6306,1.4
gun_control,wo_trust,30,0.7467,0.7989,0.7989,0.2781,0.4561,0.7117,0.9222,0.7178,0.7121,0.36,0.6133,0.4833,0.6932,0.825,2.3333
gun_control,wo_anchor,30,0.7167,0.8056,0.7889,0.2582,0.5894,0.6517,0.825,0.7581,0.7866,0.5467,0.6457,0.5889,0.6753,0.8306,1.9667
gun_control,wo_diversity,30,0.7667,0.7211,0.75,0.2136,0.5994,0.6983,0.7272,0.7929,0.7807,0.7467,0.6105,0.6,0.6561,0.775,1.8
gun_control,trustrag_anchor,30,0.7233,0.7972,0.7922,0.3365,0.6111,0.6717,0.9083,0.7581,0.7866,0.5467,0.6491,0.6611,0.7529,0.8333,2.5333
gun_control,trustrag_anchor_top2,30,0.7167,0.8083,0.7667,0.3092,0.6439,0.665,0.9556,0.7581,0.7866,0.5467,0.6503,0.6889,0.7547,0.8361,2.4333
