topic,method,n,groundedness,evidence_support_rate,mssr,citation_coverage,high_trust_citation_rate,response_utility,anchor_utilization_rate,avg_s_trust_at_k,top3_avg_s_trust,high_trust_ratio,trust_weighted_claim_support,backbone_trust_rate,backbone_avg_claim_trust,backbone_support_rate,backbone_claim_count
all,vanilla_rag,30,0.7067,0.7444,0.7167,0.2081,0.5,0.6467,0.5139,0.7289,0.734,0.5133,0.5681,0.4944,0.614,0.7722,1.8
all,wo_trust,30,0.71,0.8256,0.8294,0.3106,0.4691,0.67,0.9472,0.7289,0.7302,0.53,0.619,0.4722,0.7074,0.8444,2.4667
all,wo_anchor,30,0.6633,0.7806,0.7361,0.2604,0.6739,0.5917,0.8389,0.7559,0.7546,0.82,0.6003,0.6794,0.6515,0.7972,2.1333
all,wo_diversity,30,0.7233,0.8183,0.8183,0.2539,0.6589,0.67,0.7989,0.7498,0.7495,0.7067,0.6232,0.6389,0.7281,0.8278,2.2333
all,trustrag_anchor,30,0.6617,0.8239,0.7922,0.316,0.6556,0.6133,0.9667,0.7559,0.7546,0.82,0.632,0.6472,0.7282,0.8389,2.4333
all,trustrag_anchor_top2,30,0.6417,0.7783,0.785,0.3077,0.6867,0.5967,0.9889,0.7559,0.7546,0.82,0.6088,0.6778,0.7553,0.8056,2.6
immigration,vanilla_rag,30,0.7067,0.7444,0.7167,0.2081,0.5,0.6467,0.5139,0.7289,0.734,0.5133,0.5681,0.4944,0.614,0.7722,1.8
immigration,wo_trust,30,0.71,0.8256,0.8294,0.3106,0.4691,0.67,0.9472,0.7289,0.7302,0.53,0.619,0.4722,0.7074,0.8444,2.4667
immigration,wo_anchor,30,0.6633,0.7806,0.7361,0.2604,0.6739,0.5917,0.8389,0.7559,0.7546,0.82,0.6003,0.6794,0.6515,0.7972,2.1333
immigration,wo_diversity,30,0.7233,0.8183,0.8183,0.2539,0.6589,0.67,0.7989,0.7498,0.7495,0.7067,0.6232,0.6389,0.7281,0.8278,2.2333
immigration,trustrag_anchor,30,0.6617,0.8239,0.7922,0.316,0.6556,0.6133,0.9667,0.7559,0.7546,0.82,0.632,0.6472,0.7282,0.8389,2.4333
immigration,trustrag_anchor_top2,30,0.6417,0.7783,0.785,0.3077,0.6867,0.5967,0.9889,0.7559,0.7546,0.82,0.6088,0.6778,0.7553,0.8056,2.6
