group,metric,value
retrieval_weight_sweep,default_alpha_beta,0.7;0.3
retrieval_weight_sweep,default_ht_cite,0.683
retrieval_weight_sweep,default_avg_relevance,0.409
retrieval_weight_sweep,trust_heavy_alpha_beta,0.5;0.5
retrieval_weight_sweep,trust_heavy_ht_cite,0.899
retrieval_weight_sweep,trust_heavy_avg_relevance,0.386
retrieval_weight_sweep,relevance_heavy_alpha_beta,0.9;0.1
retrieval_weight_sweep,relevance_heavy_ht_cite,0.596
retrieval_weight_sweep,relevance_heavy_avg_relevance,0.423
community_penalty,default_rho,0.8
community_penalty,default_coverage,7.54
community_penalty,rho_off,1.0
community_penalty,rho_off_coverage,4.36
community_penalty,rho_off_ht_cite_delta,-0.025
community_penalty,strong_penalty_rho,0.6
community_penalty,strong_penalty_coverage,9.25
community_penalty,strong_penalty_avg_relevance,0.395
generation_side_stability,card_gamma_values,0.5;0.65;0.8
generation_side_stability,card_gamma_ht_cite_change_max,0.01
generation_side_stability,anchor_lambda_default,0.45;0.35;0.2
generation_side_stability,anchor_lambda_ht_cite_move_max,0.02
generation_side_stability,tau_anchor_default,0.8
generation_side_stability,tau_anchor_alternatives,0.7;0.85
generation_side_stability,tau_anchor_ht_cite_reduction_range,0.02;0.03
