setting,axis,trust_alpha,trust_beta,trust_div_rho,trust_div_mode,n_queries,avg_s_trust_at_k,high_trust_ratio,community_coverage,community_entropy,avg_query_relevance
ab_0.5_0.5,alpha_beta,0.5,0.5,0.8,community,210,0.782965571428571,0.8238095238095248,9.042857142857143,3.090254831606159,0.3855185666325546
ab_0.6_0.4,alpha_beta,0.6,0.4,0.8,community,210,0.7768502380952386,0.7695238095238097,8.58095238095238,2.965754967349372,0.3958048683830671
ab_0.7_0.3,alpha_beta,0.7,0.3,0.8,community,210,0.7678102380952381,0.687142857142857,7.542857142857143,2.6928975306062934,0.40855120304084996
ab_0.8_0.2,alpha_beta,0.8,0.2,0.8,community,210,0.755497857142857,0.5985714285714282,6.328571428571428,2.3483053268940046,0.4184609909000848
ab_0.9_0.1,alpha_beta,0.9,0.1,0.8,community,210,0.7434244285714283,0.5157142857142858,5.238095238095238,2.0366706923993716,0.42325343729484644
progressive_rho_0.8,div_mode,0.7,0.3,0.8,progressive,210,0.7643173333333334,0.6704761904761902,8.338095238095239,2.9731272243975844,0.40223461214985157
rho_0.6,rho,0.7,0.3,0.6,community,210,0.7625637619047617,0.6738095238095235,9.252380952380953,3.1384025997603895,0.39528106294927184
rho_0.7,rho,0.7,0.3,0.7,community,210,0.7641742380952383,0.6814285714285713,8.723809523809523,3.0086017933324696,0.4004805343562653
rho_0.9,rho,0.7,0.3,0.9,community,210,0.7722267142857145,0.6899999999999995,6.019047619047619,2.2674015502864875,0.41444045154821313
rho_1.0,rho,0.7,0.3,1.0,off,210,0.7759132857142855,0.6904761904761899,4.3619047619047615,1.784549617979325,0.41576539214168323
