setting,axis,topic,trust_alpha,trust_beta,trust_div_rho,trust_div_mode,n_queries,avg_s_trust_at_k,high_trust_ratio,community_coverage,community_entropy,avg_query_relevance
ab_0.5_0.5,alpha_beta,abortion,0.5,0.5,0.8,community,30,0.8182080000000002,0.9666666666666667,9.2,3.1502288448729403,0.43046354184548064
ab_0.5_0.5,alpha_beta,climate_change,0.5,0.5,0.8,community,30,0.7746480000000003,0.7766666666666667,8.2,2.891066825000091,0.3480664577583472
ab_0.5_0.5,alpha_beta,economy_jobs,0.5,0.5,0.8,community,30,0.7710343333333333,0.7033333333333334,8.466666666666667,2.87712164689995,0.34462699105342237
ab_0.5_0.5,alpha_beta,free_speech,0.5,0.5,0.8,community,30,0.7821150000000003,0.8100000000000004,9.533333333333333,3.223562178206274,0.37274886091550197
ab_0.5_0.5,alpha_beta,gun_control,0.5,0.5,0.8,community,30,0.7955886666666666,0.7833333333333333,8.6,3.0026799698513056,0.415199717481931
ab_0.5_0.5,alpha_beta,immigration,0.5,0.5,0.8,community,30,0.7635573333333332,0.913333333333333,9.866666666666667,3.288594761554031,0.390083584189415
ab_0.5_0.5,alpha_beta,voting_rights_and_voter_fraud,0.5,0.5,0.8,community,30,0.7756076666666666,0.8133333333333332,9.433333333333334,3.1985295948585173,0.3974408131837845
ab_0.6_0.4,alpha_beta,abortion,0.6,0.4,0.8,community,30,0.8153873333333335,0.9399999999999998,8.933333333333334,3.079281469822459,0.4355536819497744
ab_0.6_0.4,alpha_beta,climate_change,0.6,0.4,0.8,community,30,0.7690150000000002,0.7033333333333335,7.3,2.621087763467787,0.36316963364680604
ab_0.6_0.4,alpha_beta,economy_jobs,0.6,0.4,0.8,community,30,0.7662706666666668,0.6533333333333332,8.033333333333333,2.761474573402078,0.35337956671913456
ab_0.6_0.4,alpha_beta,free_speech,0.6,0.4,0.8,community,30,0.7776449999999999,0.78,8.866666666666667,3.069346636517971,0.3847567994892597
