config,judge,topic,method,n,groundedness,evidence_support_rate,mssr,citation_coverage,high_trust_citation_rate,response_utility,anchor_utilization_rate,avg_s_trust_at_k,top3_avg_s_trust,high_trust_ratio,trust_weighted_claim_support,backbone_trust_rate,backbone_avg_claim_trust,backbone_support_rate,backbone_claim_count
default,claude,all,trustrag_anchor,35,0.6183,0.6157,0.6538,0.6477,0.6832,0.5323,0.7198,0.7712,0.7761,0.7029,0.4834,0.6853,0.7632,0.631,2.4571
ab_0.9_0.1,claude,all,trustrag_anchor,35,0.6426,0.7948,0.7948,0.6421,0.5956,0.5634,0.5902,0.749,0.7373,0.5629,0.6024,0.5944,0.7545,0.8,2.6857
ab_0.5_0.5,claude,all,trustrag_anchor,35,0.5997,0.7519,0.7129,0.6037,0.8995,0.4894,0.8623,0.7888,0.8184,0.8514,0.5728,0.8926,0.7869,0.7286,2.3714
rho_1.0,claude,all,trustrag_anchor,35,0.6294,0.7681,0.7848,0.645,0.6583,0.5386,0.5409,0.7794,0.7813,0.7057,0.6034,0.6457,0.7702,0.781,2.4857
rho_0.6,claude,all,trustrag_anchor,35,0.6197,0.7386,0.7195,0.6393,0.6895,0.5394,0.8683,0.7661,0.772,0.6914,0.5622,0.6955,0.7608,0.7381,2.5429
gamma_0.5,claude,all,trustrag_anchor,35,0.6066,0.7081,0.7081,0.6548,0.6831,0.548,0.7209,0.7712,0.7761,0.7029,0.5615,0.6893,0.7631,0.7333,2.6286
gamma_0.8,claude,all,trustrag_anchor,35,0.596,0.6786,0.6357,0.6478,0.6764,0.5249,0.741,0.7712,0.7761,0.7029,0.5132,0.6999,0.7652,0.6667,2.5714
anchor_relevance_heavy,claude,all,trustrag_anchor,35,0.6203,0.7019,0.7019,0.6244,0.6788,0.544,0.7348,0.7712,0.7761,0.7029,0.5595,0.6771,0.7607,0.7333,2.5429
anchor_support_heavy,claude,all,trustrag_anchor,35,0.6254,0.6771,0.6867,0.6502,0.6991,0.5366,0.7095,0.7712,0.7761,0.7029,0.5485,0.7097,0.7665,0.7143,2.5429
anchor_no_support,claude,all,trustrag_anchor,35,0.6186,0.6695,0.6924,0.642,0.6959,0.5289,0.7239,0.7712,0.7761,0.7029,0.5233,0.7216,0.766,0.681,2.5429
tau_anchor_0.70,claude,all,trustrag_anchor,35,0.6346,0.6395,0.6538,0.614,0.6593,0.534,0.7122,0.7712,0.7761,0.7029,0.512,0.668,0.7603,0.6714,2.4286
tau_anchor_0.85,claude,all,trustrag_anchor,35,0.632,0.7352,0.7162,0.6284,0.6572,0.5531,0.708,0.7712,0.7761,0.7029,0.5713,0.6523,0.7398,0.7476,2.5143
