config,judge,topic,method,n,groundedness,evidence_support_rate,mssr,citation_coverage,high_trust_citation_rate,response_utility,anchor_utilization_rate,avg_s_trust_at_k,top3_avg_s_trust,high_trust_ratio,trust_weighted_claim_support,backbone_trust_rate,backbone_avg_claim_trust,backbone_support_rate,backbone_claim_count
default,gpt4o,all,trustrag_anchor,35,0.75,0.7095,0.721,0.6477,0.6832,0.6857,0.7198,0.7712,0.7761,0.7029,0.5618,0.6853,0.7632,0.7333,2.4571
ab_0.9_0.1,gpt4o,all,trustrag_anchor,35,0.7643,0.8352,0.801,0.6421,0.5956,0.7071,0.5902,0.749,0.7373,0.5629,0.661,0.5944,0.7545,0.8762,2.6857
ab_0.5_0.5,gpt4o,all,trustrag_anchor,35,0.7586,0.7781,0.7881,0.6037,0.8995,0.7071,0.8623,0.7888,0.8184,0.8514,0.6184,0.8926,0.7869,0.7857,2.3714
rho_1.0,gpt4o,all,trustrag_anchor,35,0.7457,0.8024,0.8286,0.645,0.6583,0.69,0.5409,0.7794,0.7813,0.7057,0.6448,0.6457,0.7702,0.8333,2.4857
rho_0.6,gpt4o,all,trustrag_anchor,35,0.76,0.7386,0.7386,0.6393,0.6895,0.7014,0.8683,0.7661,0.772,0.6914,0.5809,0.6955,0.7608,0.7619,2.5429
gamma_0.5,gpt4o,all,trustrag_anchor,35,0.7643,0.7729,0.7791,0.6548,0.6831,0.7114,0.7209,0.7712,0.7761,0.7029,0.6177,0.6893,0.7631,0.8048,2.6286
gamma_0.8,gpt4o,all,trustrag_anchor,35,0.7543,0.6429,0.6976,0.6478,0.6764,0.7,0.741,0.7712,0.7761,0.7029,0.5348,0.6999,0.7652,0.6929,2.5714
anchor_relevance_heavy,gpt4o,all,trustrag_anchor,35,0.7586,0.7648,0.7352,0.6244,0.6788,0.7086,0.7348,0.7712,0.7761,0.7029,0.6159,0.6771,0.7607,0.8071,2.5429
anchor_support_heavy,gpt4o,all,trustrag_anchor,35,0.7457,0.6852,0.7143,0.6502,0.6991,0.6871,0.7095,0.7712,0.7761,0.7029,0.5575,0.7097,0.7665,0.7238,2.5429
anchor_no_support,gpt4o,all,trustrag_anchor,35,0.7643,0.7305,0.7529,0.642,0.6959,0.7057,0.7239,0.7712,0.7761,0.7029,0.595,0.7216,0.766,0.7738,2.5429
tau_anchor_0.70,gpt4o,all,trustrag_anchor,35,0.76,0.6919,0.7229,0.614,0.6593,0.7043,0.7122,0.7712,0.7761,0.7029,0.5689,0.668,0.7603,0.7452,2.4286
tau_anchor_0.85,gpt4o,all,trustrag_anchor,35,0.7343,0.7567,0.7662,0.6284,0.6572,0.6786,0.708,0.7712,0.7761,0.7029,0.6032,0.6523,0.7398,0.7857,2.5143
