config,judge,topic,method,n,groundedness,evidence_support_rate,mssr,citation_coverage,high_trust_citation_rate,response_utility,anchor_utilization_rate,avg_s_trust_at_k,top3_avg_s_trust,high_trust_ratio,trust_weighted_claim_support,backbone_trust_rate,backbone_avg_claim_trust,backbone_support_rate,backbone_claim_count
default,claude,abortion,trustrag_anchor,5,0.664,0.9333,0.9333,0.65,0.9314,0.46,0.7143,0.813,0.8503,0.86,0.7583,0.9314,0.8165,0.9333,2.2
default,claude,climate_change,trustrag_anchor,5,0.608,0.6933,0.6933,0.7262,0.6695,0.58,0.6209,0.7672,0.7698,0.72,0.5882,0.6362,0.7513,0.7833,2.4
default,claude,economy_jobs,trustrag_anchor,5,0.614,0.65,0.65,0.6133,0.6057,0.52,0.6229,0.7739,0.778,0.62,0.5124,0.6109,0.7587,0.6667,2.6
default,claude,free_speech,trustrag_anchor,5,0.696,0.5533,0.5533,0.6929,0.72,0.666,0.7667,0.7753,0.7619,0.72,0.4002,0.7333,0.767,0.5333,3.0
default,claude,gun_control,trustrag_anchor,5,0.568,0.5133,0.5133,0.6083,0.6913,0.54,0.7143,0.7774,0.7835,0.68,0.4779,0.679,0.7838,0.6,2.2
default,claude,immigration,trustrag_anchor,5,0.694,0.3833,0.65,0.61,0.7429,0.45,0.9214,0.7536,0.755,0.78,0.2688,0.7762,0.7486,0.3667,2.0
default,claude,voting_rights_and_voter_fraud,trustrag_anchor,5,0.484,0.5833,0.5833,0.6333,0.4217,0.51,0.6783,0.738,0.7343,0.54,0.3782,0.43,0.7163,0.5333,2.8
ab_0.9_0.1,claude,abortion,trustrag_anchor,5,0.588,0.8,0.8,0.6743,0.8024,0.47,0.5129,0.7952,0.7605,0.78,0.6413,0.8029,0.8129,0.8,2.6
ab_0.9_0.1,claude,climate_change,trustrag_anchor,5,0.622,0.8667,0.8667,0.6533,0.6333,0.586,0.5333,0.7537,0.7592,0.6,0.653,0.6333,0.7574,0.8667,2.8
ab_0.9_0.1,claude,economy_jobs,trustrag_anchor,5,0.662,0.8933,0.8933,0.6486,0.6621,0.546,0.5612,0.7601,0.7481,0.6,0.7146,0.6367,0.7651,0.9333,2.6
ab_0.9_0.1,claude,free_speech,trustrag_anchor,5,0.746,1.0,1.0,0.6433,0.6133,0.682,0.6867,0.7439,0.7499,0.52,0.7511,0.6067,0.7511,1.0,3.0
ab_0.9_0.1,claude,gun_control,trustrag_anchor,5,0.65,0.6533,0.6533,0.645,0.5635,0.58,0.5151,0.7504,0.7253,0.6,0.5021,0.5524,0.7505,0.6667,2.6
ab_0.9_0.1,claude,immigration,trustrag_anchor,5,0.688,0.6833,0.6833,0.5943,0.6124,0.52,0.6495,0.733,0.739,0.54,0.4896,0.6257,0.7393,0.6667,2.2
ab_0.9_0.1,claude,voting_rights_and_voter_fraud,trustrag_anchor,5,0.542,0.6667,0.6667,0.6362,0.2819,0.56,0.6724,0.707,0.6792,0.3,0.4648,0.3033,0.7051,0.6667,3.0
ab_0.5_0.5,claude,abortion,trustrag_anchor,5,0.68,0.9,0.9,0.55,1.0,0.47,0.8667,0.8287,0.887,0.98,0.7559,1.0,0.8418,0.9,2.0
ab_0.5_0.5,claude,climate_change,trustrag_anchor,5,0.484,0.5,0.5,0.6133,0.9667,0.43,0.5667,0.7746,0.8026,0.8,0.3621,0.96,0.7768,0.4667,2.2
ab_0.5_0.5,claude,economy_jobs,trustrag_anchor,5,0.614,0.9,0.9,0.5867,0.8467,0.45,0.7667,0.7835,0.7959,0.76,0.7364,0.8333,0.7868,0.9333,2.2
ab_0.5_0.5,claude,free_speech,trustrag_anchor,5,0.588,0.5167,0.5167,0.5676,0.8283,0.57,0.9429,0.7893,0.8245,0.86,0.3861,0.8333,0.7724,0.5,2.8
ab_0.5_0.5,claude,gun_control,trustrag_anchor,5,0.584,0.6633,0.6233,0.6405,0.9048,0.47,0.8933,0.8009,0.8688,0.82,0.458,0.9048,0.8063,0.5667,2.4
ab_0.5_0.5,claude,immigration,trustrag_anchor,5,0.724,1.0,1.0,0.6067,0.95,0.48,1.0,0.7641,0.76,0.94,0.761,0.95,0.761,1.0,2.2
ab_0.5_0.5,claude,voting_rights_and_voter_fraud,trustrag_anchor,5,0.524,0.7833,0.55,0.661,0.8,0.556,1.0,0.7805,0.7896,0.8,0.5499,0.7667,0.7634,0.7333,2.8
rho_1.0,claude,abortion,trustrag_anchor,5,0.774,0.8667,0.9333,0.52,0.8667,0.54,0.369,0.842,0.8436,0.88,0.7483,0.8667,0.8588,0.8667,1.8
rho_1.0,claude,climate_change,trustrag_anchor,5,0.554,0.6167,0.6667,0.7033,0.66,0.514,0.56,0.7608,0.7779,0.66,0.4982,0.6267,0.7549,0.6667,2.6
