config,judge,topic,method,n,groundedness,evidence_support_rate,mssr,citation_coverage,high_trust_citation_rate,response_utility,anchor_utilization_rate,avg_s_trust_at_k,top3_avg_s_trust,high_trust_ratio,trust_weighted_claim_support,backbone_trust_rate,backbone_avg_claim_trust,backbone_support_rate,backbone_claim_count
default,gpt4o,abortion,trustrag_anchor,5,0.65,0.9333,0.9333,0.65,0.9314,0.56,0.7143,0.813,0.8503,0.86,0.7881,0.9314,0.8165,0.9667,2.2
default,gpt4o,climate_change,trustrag_anchor,5,0.83,0.8333,0.7667,0.7262,0.6695,0.78,0.6209,0.7672,0.7698,0.72,0.6268,0.6362,0.7513,0.8333,2.4
default,gpt4o,economy_jobs,trustrag_anchor,5,0.68,0.65,0.65,0.6133,0.6057,0.63,0.6229,0.7739,0.778,0.62,0.5361,0.6109,0.7587,0.7,2.6
default,gpt4o,free_speech,trustrag_anchor,5,0.85,0.67,0.67,0.6929,0.72,0.8,0.7667,0.7753,0.7619,0.72,0.5004,0.7333,0.767,0.6667,3.0
default,gpt4o,gun_control,trustrag_anchor,5,0.79,0.5133,0.86,0.6083,0.6913,0.7,0.7143,0.7774,0.7835,0.68,0.4508,0.679,0.7838,0.5667,2.2
default,gpt4o,immigration,trustrag_anchor,5,0.64,0.8333,0.7333,0.61,0.7429,0.57,0.9214,0.7536,0.755,0.78,0.6243,0.7762,0.7486,0.8333,2.0
default,gpt4o,voting_rights_and_voter_fraud,trustrag_anchor,5,0.81,0.5333,0.4333,0.6333,0.4217,0.76,0.6783,0.738,0.7343,0.54,0.4061,0.43,0.7163,0.5666,2.8
ab_0.9_0.1,gpt4o,abortion,trustrag_anchor,5,0.76,0.8667,0.8667,0.6743,0.8024,0.68,0.5129,0.7952,0.7605,0.78,0.7282,0.8029,0.8129,0.9,2.6
ab_0.9_0.1,gpt4o,climate_change,trustrag_anchor,5,0.83,0.8667,0.8,0.6533,0.6333,0.78,0.5333,0.7537,0.7592,0.6,0.653,0.6333,0.7574,0.8667,2.8
ab_0.9_0.1,gpt4o,economy_jobs,trustrag_anchor,5,0.66,0.8533,0.8533,0.6486,0.6621,0.61,0.5612,0.7601,0.7481,0.6,0.7146,0.6367,0.7651,0.9333,2.6
ab_0.9_0.1,gpt4o,free_speech,trustrag_anchor,5,0.85,1.0,1.0,0.6433,0.6133,0.8,0.6867,0.7439,0.7499,0.52,0.7511,0.6067,0.7511,1.0,3.0
ab_0.9_0.1,gpt4o,gun_control,trustrag_anchor,5,0.81,0.8267,0.6533,0.645,0.5635,0.75,0.5151,0.7504,0.7253,0.6,0.6759,0.5524,0.7505,0.9,2.6
ab_0.9_0.1,gpt4o,immigration,trustrag_anchor,5,0.71,0.7833,0.7833,0.5943,0.6124,0.65,0.6495,0.733,0.739,0.54,0.6397,0.6257,0.7393,0.8667,2.2
ab_0.9_0.1,gpt4o,voting_rights_and_voter_fraud,trustrag_anchor,5,0.73,0.65,0.65,0.6362,0.2819,0.68,0.6724,0.707,0.6792,0.3,0.4647,0.3033,0.7051,0.6667,3.0
ab_0.5_0.5,gpt4o,abortion,trustrag_anchor,5,0.7,0.9,0.9,0.55,1.0,0.62,0.8667,0.8287,0.887,0.98,0.7559,1.0,0.8418,0.9,2.0
ab_0.5_0.5,gpt4o,climate_change,trustrag_anchor,5,0.79,0.6,0.8,0.6133,0.9667,0.76,0.5667,0.7746,0.8026,0.8,0.4416,0.96,0.7768,0.5667,2.2
ab_0.5_0.5,gpt4o,economy_jobs,trustrag_anchor,5,0.78,0.9,0.85,0.5867,0.8467,0.71,0.7667,0.7835,0.7959,0.76,0.7631,0.8333,0.7868,0.9667,2.2
ab_0.5_0.5,gpt4o,free_speech,trustrag_anchor,5,0.83,0.7333,0.7333,0.5676,0.8283,0.8,0.9429,0.7893,0.8245,0.86,0.5668,0.8333,0.7724,0.7333,2.8
ab_0.5_0.5,gpt4o,gun_control,trustrag_anchor,5,0.74,0.8533,0.7733,0.6405,0.9048,0.68,0.8933,0.8009,0.8688,0.82,0.6357,0.9048,0.8063,0.8,2.4
ab_0.5_0.5,gpt4o,immigration,trustrag_anchor,5,0.76,0.8933,0.8933,0.6067,0.95,0.68,1.0,0.7641,0.76,0.94,0.7106,0.95,0.761,0.9333,2.2
ab_0.5_0.5,gpt4o,voting_rights_and_voter_fraud,trustrag_anchor,5,0.71,0.5667,0.5667,0.661,0.8,0.7,1.0,0.7805,0.7896,0.8,0.4553,0.7667,0.7634,0.6,2.8
rho_1.0,gpt4o,abortion,trustrag_anchor,5,0.61,0.9333,1.0,0.52,0.8667,0.54,0.369,0.842,0.8436,0.88,0.8052,0.8667,0.8588,0.9333,1.8
rho_1.0,gpt4o,climate_change,trustrag_anchor,5,0.83,0.7167,0.7167,0.7033,0.66,0.78,0.56,0.7608,0.7779,0.66,0.4982,0.6267,0.7549,0.6667,2.6
rho_1.0,gpt4o,economy_jobs,trustrag_anchor,5,0.64,0.8667,0.8,0.5733,0.75,0.56,0.4583,0.783,0.7858,0.72,0.7118,0.75,0.786,0.9,2.2
rho_1.0,gpt4o,free_speech,trustrag_anchor,5,0.83,1.0,0.9333,0.75,0.6809,0.79,0.6333,0.7691,0.7671,0.68,0.7595,0.66,0.7595,1.0,3.0
rho_1.0,gpt4o,gun_control,trustrag_anchor,5,0.81,0.65,0.9,0.66,0.7214,0.76,0.4224,0.8033,0.7906,0.78,0.6279,0.7214,0.7934,0.8,2.4
rho_1.0,gpt4o,immigration,trustrag_anchor,5,0.73,0.85,0.85,0.585,0.6212,0.66,0.6993,0.7483,0.749,0.7,0.6686,0.6429,0.7441,0.9,2.4
rho_1.0,gpt4o,voting_rights_and_voter_fraud,trustrag_anchor,5,0.77,0.6,0.6,0.7233,0.3079,0.74,0.6441,0.7494,0.7552,0.52,0.4427,0.2524,0.6948,0.6333,3.0
rho_0.6,gpt4o,abortion,trustrag_anchor,5,0.65,1.0,1.0,0.6333,0.91,0.58,0.92,0.7978,0.8503,0.86,0.8112,0.8933,0.8112,1.0,2.2
rho_0.6,gpt4o,climate_change,trustrag_anchor,5,0.85,0.7,0.75,0.6733,0.7267,0.8,0.63,0.7658,0.7667,0.68,0.552,0.7,0.758,0.7333,2.6
rho_0.6,gpt4o,economy_jobs,trustrag_anchor,5,0.77,0.5667,0.5667,0.6,0.5595,0.7,0.8,0.7583,0.7426,0.5,0.4748,0.5595,0.7549,0.6333,2.4
rho_0.6,gpt4o,free_speech,trustrag_anchor,5,0.85,0.7867,0.7867,0.5845,0.6914,0.8,0.86,0.7795,0.7619,0.78,0.6089,0.7033,0.7634,0.8,3.0
rho_0.6,gpt4o,gun_control,trustrag_anchor,5,0.81,0.85,0.7333,0.6476,0.6571,0.75,0.8933,0.7634,0.7934,0.6,0.6678,0.6809,0.774,0.8667,2.4
rho_0.6,gpt4o,immigration,trustrag_anchor,5,0.64,0.8667,0.9333,0.6867,0.8214,0.56,1.0,0.756,0.755,0.84,0.6507,0.8548,0.7514,0.8667,2.2
rho_0.6,gpt4o,voting_rights_and_voter_fraud,trustrag_anchor,5,0.75,0.4,0.4,0.65,0.46,0.72,0.975,0.742,0.7343,0.58,0.3006,0.4767,0.7125,0.4333,3.0
gamma_0.5,gpt4o,abortion,trustrag_anchor,5,0.66,0.9333,0.9333,0.65,0.9314,0.6,0.6943,0.813,0.8503,0.86,0.788,0.9314,0.8171,0.9667,2.2
gamma_0.5,gpt4o,climate_change,trustrag_anchor,5,0.83,0.7667,0.8333,0.7262,0.71,0.78,0.69,0.7672,0.7698,0.72,0.58,0.6767,0.757,0.7667,2.8
gamma_0.5,gpt4o,economy_jobs,trustrag_anchor,5,0.73,0.7167,0.7167,0.6343,0.61,0.7,0.6133,0.7739,0.778,0.62,0.5677,0.66,0.7691,0.7333,3.0
gamma_0.5,gpt4o,free_speech,trustrag_anchor,5,0.85,0.81,0.7433,0.6345,0.7064,0.8,0.7743,0.7753,0.7619,0.72,0.663,0.7,0.7643,0.8667,3.0
gamma_0.5,gpt4o,gun_control,trustrag_anchor,5,0.83,0.75,0.85,0.6167,0.6726,0.77,0.6798,0.7774,0.7835,0.68,0.6183,0.6476,0.7754,0.8,2.4
gamma_0.5,gpt4o,immigration,trustrag_anchor,5,0.64,1.0,0.8833,0.71,0.7071,0.57,0.9214,0.7536,0.755,0.78,0.7456,0.7262,0.7456,1.0,2.2
gamma_0.5,gpt4o,voting_rights_and_voter_fraud,trustrag_anchor,5,0.81,0.4333,0.4933,0.6117,0.4443,0.76,0.6732,0.738,0.7343,0.54,0.3615,0.4833,0.7128,0.5,2.8
gamma_0.8,gpt4o,abortion,trustrag_anchor,5,0.64,0.9333,1.0,0.65,0.9314,0.59,0.7143,0.813,0.8503,0.86,0.7892,0.9314,0.8183,0.9667,2.2
gamma_0.8,gpt4o,climate_change,trustrag_anchor,5,0.81,0.55,0.55,0.7167,0.76,0.78,0.76,0.7672,0.7698,0.72,0.4726,0.76,0.7654,0.6167,2.8
gamma_0.8,gpt4o,economy_jobs,trustrag_anchor,5,0.68,0.5833,0.5167,0.65,0.5143,0.66,0.5857,0.7739,0.778,0.62,0.4684,0.5367,0.7561,0.6,2.8
gamma_0.8,gpt4o,free_speech,trustrag_anchor,5,0.81,0.6667,0.6667,0.6967,0.68,0.76,0.78,0.7753,0.7619,0.72,0.5103,0.7833,0.7811,0.6667,3.0
gamma_0.8,gpt4o,gun_control,trustrag_anchor,5,0.79,0.6667,1.0,0.64,0.7286,0.71,0.7243,0.7774,0.7835,0.68,0.5439,0.7286,0.7746,0.7,2.2
gamma_0.8,gpt4o,immigration,trustrag_anchor,5,0.76,0.7,0.7,0.5809,0.6929,0.66,0.9714,0.7536,0.755,0.78,0.595,0.7262,0.7456,0.8,2.0
gamma_0.8,gpt4o,voting_rights_and_voter_fraud,trustrag_anchor,5,0.79,0.4,0.45,0.6,0.4276,0.74,0.651,0.738,0.7343,0.54,0.3642,0.4333,0.7157,0.5,3.0
anchor_relevance_heavy,gpt4o,abortion,trustrag_anchor,5,0.64,0.9333,0.9333,0.6,0.9381,0.58,0.7143,0.813,0.8503,0.86,0.7891,0.9381,0.8199,0.9667,2.2
anchor_relevance_heavy,gpt4o,climate_change,trustrag_anchor,5,0.83,0.6533,0.4467,0.7262,0.7167,0.8,0.7167,0.7672,0.7698,0.72,0.5415,0.6833,0.7575,0.7167,2.6
anchor_relevance_heavy,gpt4o,economy_jobs,trustrag_anchor,5,0.73,0.6667,0.6667,0.6319,0.5771,0.72,0.6791,0.7739,0.778,0.62,0.5478,0.63,0.7675,0.7,3.0
anchor_relevance_heavy,gpt4o,free_speech,trustrag_anchor,5,0.85,0.7167,0.6167,0.6091,0.7433,0.8,0.6867,0.7753,0.7619,0.72,0.5832,0.7,0.7634,0.7667,2.8
anchor_relevance_heavy,gpt4o,gun_control,trustrag_anchor,5,0.81,0.7833,0.9,0.6167,0.669,0.73,0.7243,0.7774,0.7835,0.68,0.6643,0.6619,0.7715,0.8667,2.2
anchor_relevance_heavy,gpt4o,immigration,trustrag_anchor,5,0.64,1.0,0.9333,0.6033,0.7129,0.57,0.9214,0.7536,0.755,0.78,0.7456,0.7262,0.7456,1.0,2.2
anchor_relevance_heavy,gpt4o,voting_rights_and_voter_fraud,trustrag_anchor,5,0.81,0.6,0.65,0.5833,0.3943,0.76,0.701,0.738,0.7343,0.54,0.4396,0.4,0.6993,0.6333,2.8
anchor_support_heavy,gpt4o,abortion,trustrag_anchor,5,0.61,0.9333,0.8667,0.59,0.9314,0.54,0.6443,0.813,0.8503,0.86,0.7647,0.9314,0.8169,0.9333,2.2
anchor_support_heavy,gpt4o,climate_change,trustrag_anchor,5,0.85,0.62,0.58,0.7362,0.7767,0.8,0.7067,0.7672,0.7698,0.72,0.4486,0.7433,0.7621,0.6,2.8
anchor_support_heavy,gpt4o,economy_jobs,trustrag_anchor,5,0.68,0.65,0.7667,0.6367,0.6386,0.65,0.6048,0.7739,0.778,0.62,0.5952,0.6176,0.7677,0.7667,2.6
anchor_support_heavy,gpt4o,free_speech,trustrag_anchor,5,0.83,0.5933,0.5533,0.655,0.6517,0.78,0.7267,0.7753,0.7619,0.72,0.5078,0.7,0.7628,0.6667,3.0
anchor_support_heavy,gpt4o,gun_control,trustrag_anchor,5,0.78,0.6333,0.75,0.6243,0.7607,0.7,0.7143,0.7774,0.7835,0.68,0.5376,0.7857,0.7971,0.6667,2.2
anchor_support_heavy,gpt4o,immigration,trustrag_anchor,5,0.68,0.8667,0.9333,0.6629,0.6929,0.6,0.9214,0.7536,0.755,0.78,0.6464,0.7262,0.7456,0.8667,2.2
anchor_support_heavy,gpt4o,voting_rights_and_voter_fraud,trustrag_anchor,5,0.79,0.5,0.55,0.6467,0.4417,0.74,0.6483,0.738,0.7343,0.54,0.402,0.4633,0.7135,0.5667,2.8
anchor_no_support,gpt4o,abortion,trustrag_anchor,5,0.65,0.9,0.9,0.6433,0.9314,0.59,0.7276,0.813,0.8503,0.86,0.776,0.9314,0.8137,0.95,2.0
anchor_no_support,gpt4o,climate_change,trustrag_anchor,5,0.83,0.6833,0.6833,0.7033,0.81,0.78,0.6067,0.7672,0.7698,0.72,0.5325,0.81,0.7701,0.7,3.0
anchor_no_support,gpt4o,economy_jobs,trustrag_anchor,5,0.66,0.8933,0.9333,0.5811,0.6186,0.61,0.6619,0.7739,0.778,0.62,0.7483,0.6376,0.772,0.9667,2.6
anchor_no_support,gpt4o,free_speech,trustrag_anchor,5,0.83,0.6167,0.6667,0.6633,0.6933,0.78,0.6933,0.7753,0.7619,0.72,0.5571,0.7667,0.7668,0.7333,3.0
anchor_no_support,gpt4o,gun_control,trustrag_anchor,5,0.81,0.5833,0.65,0.5909,0.7071,0.74,0.6957,0.7774,0.7835,0.68,0.4327,0.719,0.7856,0.5333,2.2
anchor_no_support,gpt4o,immigration,trustrag_anchor,5,0.78,0.9333,0.9333,0.6833,0.6929,0.7,0.9214,0.7536,0.755,0.78,0.6968,0.7262,0.7456,0.9333,2.2
